|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |
|0+  |     0|0011000000111001|  0  |      0|   1   |    0|    0|
|1   |     0|0011000000111001|  0  |      0|   1   |12345|    0|
|1+  |     0|1110110000010000|  0  |     -1|   0   |12345|    0|
|2   |     0|1110110000010000|  0  |      0|   0   |12345|    1|
|2+  |     0|0101101110100000|  0  |     -1|   0   |12345|    1|
|3   |     0|0101101110100000|  0  |     -1|   0   |23456|    2|
|3+  |     0|1110000111010000|  0  |      0|   0   |23456|    2|
|4   |     0|1110000111010000|  0  |      0|   0   |23456|    3|
|4+  |     0|0000001111101000|  0  |     -1|   1   |23456|    3|
|5   |     0|0000001111101000|  0  |     -1|   1   | 1000|    4|
|5+  |     0|1110001100001000|  0  |      0|   1   | 1000|    4|
|6   |     0|1110001100001000|  0  |      0|   1   | 1000|    5|
|6+  |     0|0000001111101001|  0  |     -1|   1   | 1000|    5|
|7   |     0|0000001111101001|  0  |     -1|   1   | 1001| 1000|
|7+  |     0|1110001110011000|  0  |     -1|   1   | 1001| 1000|
|8   |     0|1110001110011000|  0  |      0|   1   | 1001| 1001|
|8+  |     0|0000001111101000|  0  |     -1|   1   | 1001| 1001|
|9   |     0|0000001111101000|  0  |     -1|   1   | 1000| 1002|
|9+  | 11111|1111010011010000|  0  |    999|   0   | 1000| 1002|
|10  | 11111|1111010011010000|  0  |    999|   0   | 1000| 1003|
|10+ | 11111|0000000000001110|  0  |    999|   1   | 1000| 1003|
|11  | 11111|0000000000001110|  0  |    999|   1   | 1000| 1004|
